1	EC number	Spectator Cofactors	Co-substrate Cofactors	Class	Subsystem	Functional Role	Reaction	Equation	Comments
724	2.3.1.180			Fatty acids	Fatty_acid_biosynthesis_in_plants_(plastidial)	3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.180)	rxn08766	(1) Acetyl-CoA[0] + (1) Malonyl-acyl-carrierprotein-[0] <=> (1) CoA[0] + (1) CO2[0] + (1) Acetoacetyl-ACP[0]	
725	6.4.1.2			Fatty acids	Fatty_acid_biosynthesis_in_plants_(plastidial)	Acetyl-coenzyme A carboxyl transferase alpha chain (EC 6.4.1.2)	rxn00533	(1) ATP[0] + (1) Acetyl-CoA[0] + (1) H2CO3[0] <=> (1) ADP[0] + (1) Phosphate[0] + (1) H+[0] + (1) Malonyl-CoA[0]	
726	6.4.1.2			Fatty acids	Fatty_acid_biosynthesis_in_plants_(plastidial)	Acetyl-coenzyme A carboxyl transferase alpha chain (EC 6.4.1.2)	rxn26091	(1) Acetyl-CoA[0] + (1) Carboxybiotin-BCCP[0] => (1) Malonyl-CoA[0] + (1) BCCP-dimers[0]	
727	6.4.1.2			Fatty acids	Fatty_acid_biosynthesis_in_plants_(plastidial)	Acetyl-coenzyme A carboxyl transferase beta chain (EC 6.4.1.2)	rxn00533	(1) ATP[0] + (1) Acetyl-CoA[0] + (1) H2CO3[0] <=> (1) ADP[0] + (1) Phosphate[0] + (1) H+[0] + (1) Malonyl-CoA[0]	
728	6.4.1.2			Fatty acids	Fatty_acid_biosynthesis_in_plants_(plastidial)	Acetyl-coenzyme A carboxyl transferase beta chain (EC 6.4.1.2)	rxn26091	(1) Acetyl-CoA[0] + (1) Carboxybiotin-BCCP[0] => (1) Malonyl-CoA[0] + (1) BCCP-dimers[0]	
729	6.4.1.2			Fatty acids	Fatty_acid_biosynthesis_in_plants_(plastidial)	Acetyl-coenzyme A carboxyl transferase domain of homomeric ACCase (EC 6.4.1.2)	rxn00533	(1) ATP[0] + (1) Acetyl-CoA[0] + (1) H2CO3[0] <=> (1) ADP[0] + (1) Phosphate[0] + (1) H+[0] + (1) Malonyl-CoA[0]	
730	6.4.1.2			Fatty acids	Fatty_acid_biosynthesis_in_plants_(plastidial)	Acetyl-coenzyme A carboxyl transferase domain of homomeric ACCase (EC 6.4.1.2)	rxn26091	(1) Acetyl-CoA[0] + (1) Carboxybiotin-BCCP[0] => (1) Malonyl-CoA[0] + (1) BCCP-dimers[0]	
731	3.1.2.-			Fatty acids	Fatty_acid_biosynthesis_in_plants_(plastidial)	Acyl-CoA thioesterase II (EC 3.1.2.-)	rxn00943	(1) H2O[0] + (1) Palmitoyl-CoA[0] <=> (1) CoA[0] + (1) H+[0] + (1) Palmitate[0]	
732	3.1.2.-			Fatty acids	Fatty_acid_biosynthesis_in_plants_(plastidial)	Acyl-CoA thioesterase II (EC 3.1.2.-)	rxn08440	(1) H2O[0] + (1) Lauroyl-CoA[0] <=> (1) CoA[0] + (1) H+[0] + (1) ddca[0]	
733	3.1.2.-			Fatty acids	Fatty_acid_biosynthesis_in_plants_(plastidial)	Acyl-CoA thioesterase II (EC 3.1.2.-)	rxn08444	(1) H2O[0] + (1) strcoa[0] <=> (1) CoA[0] + (1) H+[0] + (1) ocdca[0]	
734	3.1.2.-			Fatty acids	Fatty_acid_biosynthesis_in_plants_(plastidial)	Acyl-CoA thioesterase II (EC 3.1.2.-)	rxn12329	(1) H2O[0] + (1) cis-octadec-9-enoyl-coa[0] <=> (1) CoA[0] + (1) H+[0] + (1) Oleate[0]	
735				Fatty acids	Fatty_acid_biosynthesis_in_plants_(plastidial)	Biotin carboxyl carrier domain of homomeric Acetyl-CoA carboxylase	rxn00533	(1) ATP[0] + (1) Acetyl-CoA[0] + (1) H2CO3[0] <=> (1) ADP[0] + (1) Phosphate[0] + (1) H+[0] + (1) Malonyl-CoA[0]	
736				Fatty acids	Fatty_acid_biosynthesis_in_plants_(plastidial)	Biotin carboxyl carrier domain of homomeric Acetyl-CoA carboxylase	rxn19235	(1) ATP[0] + (1) H2CO3[0] + (1) BCCP-dimers[0] <= (1) ADP[0] + (1) Phosphate[0] + (1) H+[0] + (1) Carboxybiotin-BCCP[0]	
737	6.3.4.14			Fatty acids	Fatty_acid_biosynthesis_in_plants_(plastidial)	Biotin carboxylase domain of homomeric ACCase (EC 6.3.4.14)	rxn00533	(1) ATP[0] + (1) Acetyl-CoA[0] + (1) H2CO3[0] <=> (1) ADP[0] + (1) Phosphate[0] + (1) H+[0] + (1) Malonyl-CoA[0]	
738	6.3.4.14			Fatty acids	Fatty_acid_biosynthesis_in_plants_(plastidial)	Biotin carboxylase domain of homomeric ACCase (EC 6.3.4.14)	rxn19235	(1) ATP[0] + (1) H2CO3[0] + (1) BCCP-dimers[0] <= (1) ADP[0] + (1) Phosphate[0] + (1) H+[0] + (1) Carboxybiotin-BCCP[0]	
739	1.3.1.9			Fatty acids	Fatty_acid_biosynthesis_in_plants_(plastidial)	Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9)	rxn05324	(1) NAD[0] + (1) Dodecanoyl-ACP[0] <=> (1) NADH[0] + (2) H+[0] + (1) (2E)-Dodecenoyl-[acp][0]	
740	1.3.1.9			Fatty acids	Fatty_acid_biosynthesis_in_plants_(plastidial)	Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9)	rxn05325	(1) NAD[0] + (1) Octanoyl-ACP[0] <=> (1) NADH[0] + (1) H+[0] + (1) (2E)-Octenoyl-[acp][0]	
741	1.3.1.9			Fatty acids	Fatty_acid_biosynthesis_in_plants_(plastidial)	Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9)	rxn05326	(1) NAD[0] + (1) Hexanoyl-ACP[0] <=> (1) NADH[0] + (1) H+[0] + (1) (2E)-Hexenoyl-[acp][0]	
742	1.3.1.9			Fatty acids	Fatty_acid_biosynthesis_in_plants_(plastidial)	Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9)	rxn07579	(1) NADH[0] + (1) H+[0] + (1) (2E)-Octadecenoyl-[acp][0] <=> (1) NAD[0] + (1) Stearoyl-[acyl-carrier protein][0]	
743	1.3.1.9			Fatty acids	Fatty_acid_biosynthesis_in_plants_(plastidial)	Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9)	rxn08392	(1) NADH[0] + (1) H+[0] + (1) (2E)-Hexadecenoyl-[acp][0] <=> (1) NAD[0] + (1) Palmitoyl-ACP[0]	
744	1.3.1.9			Fatty acids	Fatty_acid_biosynthesis_in_plants_(plastidial)	Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9)	rxn25743	(1) NADH[0] + (1) H+[0] + (1) Crotonyl-ACPs[0] <=> (1) NAD[0] + (1) Butyryl-ACP[0]	
745	1.3.1.9			Fatty acids	Fatty_acid_biosynthesis_in_plants_(plastidial)	Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9)	rxn25747	(1) NAD[0] + (1) Decanoyl-ACP[0] <=> (1) NADH[0] + (1) H+[0] + (1) Trans-D2-decenoyl-ACPs[0]	
746	1.3.1.9			Fatty acids	Fatty_acid_biosynthesis_in_plants_(plastidial)	Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9)	rxn25750	(1) NAD[0] + (1) Myristoyl-ACPs[0] <=> (1) NADH[0] + (2) H+[0] + (1) (2E)-Tetradecenoyl-[acp][0]	
747	1.3.1.9			Fatty acids	Fatty_acid_biosynthesis_in_plants_(plastidial)	Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9)	rxn37651	(1) NAD[0] + (1) Cis-vaccenoyl-ACPs[0] <=> (1) NADH[0] + (1) H+[0] + (1) a cis-vaccen-2-enoyl-[acp][0]	
748	3.1.2.21			Fatty acids	Fatty_acid_biosynthesis_in_plants_(plastidial)	Lauryl-[acyl-carrier protein] hydrolase (EC 3.1.2.21)	rxn06556	(1) H2O[0] + (1) Dodecanoyl-ACP[0] <=> (1) H+[0] + (1) ddca[0] + (1) ACP[0]	
749	6.2.1.3			Fatty acids	Fatty_acid_biosynthesis_in_plants_(plastidial)	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	rxn00947	(1) ATP[0] + (1) CoA[0] + (1) Palmitate[0] <=> (1) PPi[0] + (1) AMP[0] + (1) H+[0] + (1) Palmitoyl-CoA[0]	
750	6.2.1.3			Fatty acids	Fatty_acid_biosynthesis_in_plants_(plastidial)	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	rxn05736	(1) ATP[0] + (1) CoA[0] + (1) Myristic acid[0] <=> (1) PPi[0] + (1) AMP[0] + (1) H+[0] + (1) Myristoyl-CoA[0]	
751	6.2.1.3			Fatty acids	Fatty_acid_biosynthesis_in_plants_(plastidial)	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	rxn09444	(1) ATP[0] + (1) CoA[0] + (1) octanoate[0] <=> (1) PPi[0] + (1) AMP[0] + (1) H+[0] + (1) Octanoyl-CoA[0]	
752	6.2.1.3			Fatty acids	Fatty_acid_biosynthesis_in_plants_(plastidial)	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	rxn09449	(1) ATP[0] + (1) CoA[0] + (1) ocdca[0] <=> (1) PPi[0] + (1) AMP[0] + (1) H+[0] + (1) strcoa[0]	
753	6.2.1.3			Fatty acids	Fatty_acid_biosynthesis_in_plants_(plastidial)	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	rxn09453	(1) ATP[0] + (1) CoA[0] + (1) Decanoate[0] <=> (1) PPi[0] + (1) AMP[0] + (1) H+[0] + (1) Decanoyl-CoA[0]	
754	6.2.1.3			Fatty acids	Fatty_acid_biosynthesis_in_plants_(plastidial)	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	rxn12282	(1) ATP[0] + (1) CoA[0] + (1) Oleate[0] <=> (1) PPi[0] + (1) AMP[0] + (1) H+[0] + (1) cis-octadec-9-enoyl-coa[0]	
755	6.2.1.3			Fatty acids	Fatty_acid_biosynthesis_in_plants_(plastidial)	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	rxn19246	(1) ATP[0] + (1) CoA[0] + (1) Nervonic acid[0] => (1) PPi[0] + (1) AMP[0] + (1) Nervonoyl-CoA[0]	
756	6.2.1.3			Fatty acids	Fatty_acid_biosynthesis_in_plants_(plastidial)	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	rxn25762	(1) ATP[0] + (1) CoA[0] + (1) Linoleate[0] => (1) PPi[0] + (1) AMP[0] + (1) Linoleoyl-CoA[0]	
757	6.2.1.3			Fatty acids	Fatty_acid_biosynthesis_in_plants_(plastidial)	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	rxn37324	(1) ATP[0] + (1) CoA[0] + (1) Docosanoate[0] => (1) PPi[0] + (1) AMP[0] + (1) H+[0] + (1) Behenoyl-CoA[0]	
758	2.3.1.39			Fatty acids	Fatty_acid_biosynthesis_in_plants_(plastidial)	Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39)	rxn05465	(1) H+[0] + (1) Malonyl-CoA[0] + (1) ACP[0] <=> (1) CoA[0] + (1) Malonyl-acyl-carrierprotein-[0]	
759	3.1.2.14			Fatty acids	Fatty_acid_biosynthesis_in_plants_(plastidial)	Oleoyl-[acyl carrier protein] thioesterase (EC 3.1.2.14)	rxn17803	(1) H2O[0] + (1) H+[0] + (1) Oleoyl-ACPs[0] <= (1) Oleate[0] + (1) ACP[0]	
760	3.1.2.14			Fatty acids	Fatty_acid_biosynthesis_in_plants_(plastidial)	Oleoyl-[acyl carrier protein] thioesterase (EC 3.1.2.14)	rxn28487	(1) H2O[0] + (1) Cis-vaccenoyl-ACPs[0] <=> (1) H+[0] + (1) ACP[0] + (1) (Z)-11-octadecenoic acid[0]	
761	3.1.2.14			Fatty acids	Fatty_acid_biosynthesis_in_plants_(plastidial)	Oleoyl-[acyl carrier protein] thioesterase of FASI (EC 3.1.2.14)	rxn17803	(1) H2O[0] + (1) H+[0] + (1) Oleoyl-ACPs[0] <= (1) Oleate[0] + (1) ACP[0]	
762	3.1.2.-			Fatty acids	Fatty_acid_biosynthesis_in_plants_(plastidial)	Palmitoyl-[acyl carrier protein] thioesterase (EC 3.1.2.-)	rxn08436	(1) H2O[0] + (1) Palmitoyl-ACP[0] <=> (1) Palmitate[0] + (1) ACP[0]	
763	3.1.2.-			Fatty acids	Fatty_acid_biosynthesis_in_plants_(plastidial)	Palmitoyl-[acyl carrier protein] thioesterase of FASI (EC 3.1.2.-)	rxn08436	(1) H2O[0] + (1) Palmitoyl-ACP[0] <=> (1) Palmitate[0] + (1) ACP[0]	
764	1.14.19.2			Fatty acids	Fatty_acid_biosynthesis_in_plants_(plastidial)	Probable acyl-ACP desaturase, Stearoyl-ACP desaturase (EC 1.14.19.2)	rxn24508	(1) O2[0] + (1) Stearoyl-[acyl-carrier protein][0] + (1) Reduced-ferredoxins[0] => (2) H2O[0] + (1) Oleoyl-ACPs[0] + (1) Oxidized-ferredoxins[0]	
765	3.1.2.-			Fatty acids	Fatty_acid_biosynthesis_in_plants_(plastidial)	Stearoyl-[acyl carrier protein] thioesterase (EC 3.1.2.-)	rxn11700	(1) H2O[0] + (1) Stearoyl-[acyl-carrier protein][0] <=> (1) H+[0] + (1) ocdca[0] + (1) ACP[0]	
766	3.1.2.-			Fatty acids	Fatty_acid_biosynthesis_in_plants_(plastidial)	Stearoyl-[acyl carrier protein] thioesterase of FASI (EC 3.1.2.-)	rxn11700	(1) H2O[0] + (1) Stearoyl-[acyl-carrier protein][0] <=> (1) H+[0] + (1) ocdca[0] + (1) ACP[0]	
767	2.7.4.3			Nucleic acids	Purine_de_novo_biosynthesis_in_plants	Adenylate kinase (EC 2.7.4.3)	rxn00097	(1) ATP[0] + (1) AMP[0] + (1) H+[0] <=> (2) ADP[0]	
768	4.3.2.2			Nucleic acids	Purine_de_novo_biosynthesis_in_plants	Adenylosuccinate lyase (EC 4.3.2.2)	rxn00800	(1) Adenylosuccinate[0] <=> (1) AMP[0] + (1) Fumarate[0]	
769	4.3.2.2			Nucleic acids	Purine_de_novo_biosynthesis_in_plants	Adenylosuccinate lyase (EC 4.3.2.2)	rxn03136	(1) SAICAR[0] <=> (1) H+[0] + (1) Fumarate[0] + (1) AICAR[0]	
770	6.3.4.4			Nucleic acids	Purine_de_novo_biosynthesis_in_plants	Adenylosuccinate synthetase (EC 6.3.4.4)	rxn00838	(1) GTP[0] + (1) L-Aspartate[0] + (1) IMP[0] <=> (1) Phosphate[0] + (1) GDP[0] + (2) H+[0] + (1) Adenylosuccinate[0]	
771	2.4.2.14			Nucleic acids	Purine_de_novo_biosynthesis_in_plants	Amidophosphoribosyltransferase (EC 2.4.2.14)	rxn00790	(1) PPi[0] + (1) L-Glutamate[0] + (1) H+[0] + (1) 5-Phosphoribosylamine[0] <=> (1) H2O[0] + (1) L-Glutamine[0] + (1) PRPP[0]	
772	6.3.5.2			Nucleic acids	Purine_de_novo_biosynthesis_in_plants	GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2)	rxn00917	(1) H2O[0] + (1) ATP[0] + (1) L-Glutamine[0] + (1) XMP[0] <=> (1) PPi[0] + (1) AMP[0] + (1) L-Glutamate[0] + (3) H+[0] + (1) GMP[0]	
773				Nucleic acids	Purine_de_novo_biosynthesis_in_plants	Glutaredoxin-like protein NrdH, required for reduction of Ribonucleotide reductase class Ib	rxn26475	(1) ADP[0] + (2) H+[0] + (1) Reduced-NrdH-Proteins[0] => (1) H2O[0] + (1) dADP[0] + (1) Oxidized-NrdH-Proteins[0]	
774				Nucleic acids	Purine_de_novo_biosynthesis_in_plants	Glutaredoxin-like protein NrdH, required for reduction of Ribonucleotide reductase class Ib	rxn26476	(1) GDP[0] + (2) H+[0] + (1) Reduced-NrdH-Proteins[0] => (1) H2O[0] + (1) dGDP[0] + (1) Oxidized-NrdH-Proteins[0]	
775	2.7.4.8			Nucleic acids	Purine_de_novo_biosynthesis_in_plants	Guanylate kinase (EC 2.7.4.8)	rxn00239	(1) ATP[0] + (1) H+[0] + (1) GMP[0] <=> (1) ADP[0] + (1) GDP[0]	
776	3.5.4.10			Nucleic acids	Purine_de_novo_biosynthesis_in_plants	IMP cyclohydrolase (EC 3.5.4.10)	rxn00832	(1) H2O[0] + (1) IMP[0] <=> (1) FAICAR[0]	
777				Nucleic acids	Purine_de_novo_biosynthesis_in_plants	IMP transport	rxn08749	(1) IMP[0] <=> (1) IMP[1]	
778	1.1.1.205			Nucleic acids	Purine_de_novo_biosynthesis_in_plants	Inosine-5'-monophosphate dehydrogenase (EC 1.1.1.205)	rxn00834	(1) H2O[0] + (1) NAD[0] + (1) IMP[0] <=> (1) NADH[0] + (1) H+[0] + (1) XMP[0]	
779	2.7.4.6			Nucleic acids	Purine_de_novo_biosynthesis_in_plants	Nucleoside diphosphate kinase (EC 2.7.4.6)	rxn00117	(1) ATP[0] + (1) UDP[0] <=> (1) ADP[0] + (1) UTP[0]	
780	2.7.4.6			Nucleic acids	Purine_de_novo_biosynthesis_in_plants	Nucleoside diphosphate kinase (EC 2.7.4.6)	rxn00237	(1) ATP[0] + (1) GDP[0] <=> (1) ADP[0] + (1) GTP[0]	
781	2.7.4.6			Nucleic acids	Purine_de_novo_biosynthesis_in_plants	Nucleoside diphosphate kinase (EC 2.7.4.6)	rxn00409	(1) ATP[0] + (1) CDP[0] <=> (1) ADP[0] + (1) CTP[0]	
782	2.7.4.6			Nucleic acids	Purine_de_novo_biosynthesis_in_plants	Nucleoside diphosphate kinase (EC 2.7.4.6)	rxn00839	(1) ATP[0] + (1) dADP[0] <=> (1) ADP[0] + (1) dATP[0]	
783	2.7.4.6			Nucleic acids	Purine_de_novo_biosynthesis_in_plants	Nucleoside diphosphate kinase (EC 2.7.4.6)	rxn01353	(1) ATP[0] + (1) dGDP[0] <=> (1) ADP[0] + (1) dGTP[0]	
784	2.7.4.6			Nucleic acids	Purine_de_novo_biosynthesis_in_plants	Nucleoside diphosphate kinase (EC 2.7.4.6)	rxn01512	(1) ATP[0] + (1) dTDP[0] <=> (1) ADP[0] + (1) TTP[0]	
785	2.7.4.6			Nucleic acids	Purine_de_novo_biosynthesis_in_plants	Nucleoside diphosphate kinase (EC 2.7.4.6)	rxn01673	(1) ATP[0] + (1) dCDP[0] <=> (1) ADP[0] + (1) dCTP[0]	
786	2.7.4.6			Nucleic acids	Purine_de_novo_biosynthesis_in_plants	Nucleoside diphosphate kinase (EC 2.7.4.6)	rxn01678	(1) ATP[0] + (1) dUDP[0] <=> (1) ADP[0] + (1) dUTP[0]	
787	6.3.4.13			Nucleic acids	Purine_de_novo_biosynthesis_in_plants	Phosphoribosylamine--glycine ligase (EC 6.3.4.13)	rxn02895	(1) ATP[0] + (1) Glycine[0] + (1) 5-Phosphoribosylamine[0] <=> (1) ADP[0] + (1) Phosphate[0] + (1) H+[0] + (1) GAR[0]	
788	4.1.1.21			Nucleic acids	Purine_de_novo_biosynthesis_in_plants	Phosphoribosylaminoimidazole carboxylase ATPase subunit (EC 4.1.1.21)	rxn02938	(1) H+[0] + (1) 5'-Phosphoribosyl-4-carboxy-5-aminoimidazole[0] <=> (1) CO2[0] + (1) AIR[0]	
789	4.1.1.21			Nucleic acids	Purine_de_novo_biosynthesis_in_plants	Phosphoribosylaminoimidazole carboxylase catalytic subunit (EC 4.1.1.21)	rxn02938	(1) H+[0] + (1) 5'-Phosphoribosyl-4-carboxy-5-aminoimidazole[0] <=> (1) CO2[0] + (1) AIR[0]	
790	6.3.2.6			Nucleic acids	Purine_de_novo_biosynthesis_in_plants	Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6)	rxn03147	(1) ATP[0] + (1) L-Aspartate[0] + (1) 5'-Phosphoribosyl-4-carboxy-5-aminoimidazole[0] <=> (1) ADP[0] + (1) Phosphate[0] + (1) H+[0] + (1) SAICAR[0]	
791	2.1.2.3			Nucleic acids	Purine_de_novo_biosynthesis_in_plants	Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3)	rxn03137	(1) 10-Formyltetrahydrofolate[0] + (1) AICAR[0] <=> (1) Tetrahydrofolate[0] + (1) FAICAR[0]	
792	6.3.3.1			Nucleic acids	Purine_de_novo_biosynthesis_in_plants	Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1)	rxn02937	(1) ATP[0] + (1) 5'-Phosphoribosylformylglycinamidine[0] <=> (1) ADP[0] + (1) Phosphate[0] + (1) H+[0] + (1) AIR[0]	
793	6.3.5.3			Nucleic acids	Purine_de_novo_biosynthesis_in_plants	Phosphoribosylformylglycinamidine synthase, glutamine amidotransferase subunit (EC 6.3.5.3)	rxn03084	(1) H2O[0] + (1) ATP[0] + (1) L-Glutamine[0] + (1) N-Formyl-GAR[0] <=> (1) ADP[0] + (1) Phosphate[0] + (1) L-Glutamate[0] + (1) H+[0] + (1) 5'-Phosphoribosylformylglycinamidine[0]	
794	6.3.5.3			Nucleic acids	Purine_de_novo_biosynthesis_in_plants	Phosphoribosylformylglycinamidine synthase, synthetase subunit (EC 6.3.5.3)	rxn03084	(1) H2O[0] + (1) ATP[0] + (1) L-Glutamine[0] + (1) N-Formyl-GAR[0] <=> (1) ADP[0] + (1) Phosphate[0] + (1) L-Glutamate[0] + (1) H+[0] + (1) 5'-Phosphoribosylformylglycinamidine[0]	
795	2.1.2.2			Nucleic acids	Purine_de_novo_biosynthesis_in_plants	Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2)	rxn03004	(1) 10-Formyltetrahydrofolate[0] + (1) GAR[0] <=> (1) H+[0] + (1) Tetrahydrofolate[0] + (1) N-Formyl-GAR[0]	
796	1.17.4.1			Nucleic acids	Purine_de_novo_biosynthesis_in_plants	Ribonucleotide reductase of class Ia (aerobic), alpha subunit (EC 1.17.4.1)	rxn19077	(1) H2O[0] + (1) dADP[0] + (1) Ox-Thioredoxin[0] <= (1) ADP[0] + (2) H+[0] + (1) Red-Thioredoxin[0]	
797	1.17.4.1			Nucleic acids	Purine_de_novo_biosynthesis_in_plants	Ribonucleotide reductase of class Ia (aerobic), alpha subunit (EC 1.17.4.1)	rxn19277	(1) H2O[0] + (1) dCDP[0] + (1) Ox-Thioredoxin[0] <= (2) H+[0] + (1) CDP[0] + (1) Red-Thioredoxin[0]	
798	1.17.4.1			Nucleic acids	Purine_de_novo_biosynthesis_in_plants	Ribonucleotide reductase of class Ia (aerobic), alpha subunit (EC 1.17.4.1)	rxn19771	(1) H2O[0] + (1) dGDP[0] + (1) Ox-Thioredoxin[0] <= (1) GDP[0] + (2) H+[0] + (1) Red-Thioredoxin[0]	
799	1.17.4.1			Nucleic acids	Purine_de_novo_biosynthesis_in_plants	Ribonucleotide reductase of class Ia (aerobic), alpha subunit (EC 1.17.4.1)	rxn27415	(1) H2O[0] + (1) dUDP[0] + (1) Ox-Thioredoxin[0] <= (1) UDP[0] + (2) H+[0] + (1) Red-Thioredoxin[0]	
800	1.17.4.1			Nucleic acids	Purine_de_novo_biosynthesis_in_plants	Ribonucleotide reductase of class Ia (aerobic), alpha subunit (EC 1.17.4.1)	rxn39245	(1) H2O[0] + (1) dATP[0] + (1) Ox-Thioredoxin[0] <= (1) ATP[0] + (2) H+[0] + (1) Red-Thioredoxin[0]	
801	1.17.4.1			Nucleic acids	Purine_de_novo_biosynthesis_in_plants	Ribonucleotide reductase of class Ia (aerobic), alpha subunit (EC 1.17.4.1)	rxn39246	(1) H2O[0] + (1) dGTP[0] + (1) Ox-Thioredoxin[0] <= (1) GTP[0] + (2) H+[0] + (1) Red-Thioredoxin[0]	
802	1.17.4.1			Nucleic acids	Purine_de_novo_biosynthesis_in_plants	Ribonucleotide reductase of class Ia (aerobic), alpha subunit (EC 1.17.4.1)	rxn39247	(1) H2O[0] + (1) dCTP[0] + (1) Ox-Thioredoxin[0] <= (1) CTP[0] + (2) H+[0] + (1) Red-Thioredoxin[0]	
803	1.17.4.1			Nucleic acids	Purine_de_novo_biosynthesis_in_plants	Ribonucleotide reductase of class Ia (aerobic), alpha subunit (EC 1.17.4.1)	rxn39248	(1) H2O[0] + (1) dUTP[0] + (1) Ox-Thioredoxin[0] <= (1) UTP[0] + (2) H+[0] + (1) Red-Thioredoxin[0]	
804	1.17.4.1			Nucleic acids	Purine_de_novo_biosynthesis_in_plants	Ribonucleotide reductase of class Ia (aerobic), beta subunit (EC 1.17.4.1)	rxn19077	(1) H2O[0] + (1) dADP[0] + (1) Ox-Thioredoxin[0] <= (1) ADP[0] + (2) H+[0] + (1) Red-Thioredoxin[0]	
805	1.17.4.1			Nucleic acids	Purine_de_novo_biosynthesis_in_plants	Ribonucleotide reductase of class Ia (aerobic), beta subunit (EC 1.17.4.1)	rxn19277	(1) H2O[0] + (1) dCDP[0] + (1) Ox-Thioredoxin[0] <= (2) H+[0] + (1) CDP[0] + (1) Red-Thioredoxin[0]	
806	1.17.4.1			Nucleic acids	Purine_de_novo_biosynthesis_in_plants	Ribonucleotide reductase of class Ia (aerobic), beta subunit (EC 1.17.4.1)	rxn19771	(1) H2O[0] + (1) dGDP[0] + (1) Ox-Thioredoxin[0] <= (1) GDP[0] + (2) H+[0] + (1) Red-Thioredoxin[0]	
807	1.17.4.1			Nucleic acids	Purine_de_novo_biosynthesis_in_plants	Ribonucleotide reductase of class Ia (aerobic), beta subunit (EC 1.17.4.1)	rxn27415	(1) H2O[0] + (1) dUDP[0] + (1) Ox-Thioredoxin[0] <= (1) UDP[0] + (2) H+[0] + (1) Red-Thioredoxin[0]	
808	1.17.4.1			Nucleic acids	Purine_de_novo_biosynthesis_in_plants	Ribonucleotide reductase of class Ia (aerobic), beta subunit (EC 1.17.4.1)	rxn39245	(1) H2O[0] + (1) dATP[0] + (1) Ox-Thioredoxin[0] <= (1) ATP[0] + (2) H+[0] + (1) Red-Thioredoxin[0]	
809	1.17.4.1			Nucleic acids	Purine_de_novo_biosynthesis_in_plants	Ribonucleotide reductase of class Ia (aerobic), beta subunit (EC 1.17.4.1)	rxn39246	(1) H2O[0] + (1) dGTP[0] + (1) Ox-Thioredoxin[0] <= (1) GTP[0] + (2) H+[0] + (1) Red-Thioredoxin[0]	
810	1.17.4.1			Nucleic acids	Purine_de_novo_biosynthesis_in_plants	Ribonucleotide reductase of class Ia (aerobic), beta subunit (EC 1.17.4.1)	rxn39247	(1) H2O[0] + (1) dCTP[0] + (1) Ox-Thioredoxin[0] <= (1) CTP[0] + (2) H+[0] + (1) Red-Thioredoxin[0]	
811	1.17.4.1			Nucleic acids	Purine_de_novo_biosynthesis_in_plants	Ribonucleotide reductase of class Ia (aerobic), beta subunit (EC 1.17.4.1)	rxn39248	(1) H2O[0] + (1) dUTP[0] + (1) Ox-Thioredoxin[0] <= (1) UTP[0] + (2) H+[0] + (1) Red-Thioredoxin[0]	
812	2.7.6.1			Nucleic acids	Purine_de_novo_biosynthesis_in_plants	Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)	rxn00770	(1) ATP[0] + (1) ribose-5-phosphate[0] <=> (1) AMP[0] + (1) H+[0] + (1) PRPP[0]	
813	3.1.3.5			Nucleic acids	Pyrimidine_de_novo_biosynthesis_in_plants	5'-nucleotidase (EC 3.1.3.5)	rxn00363	(1) H2O[0] + (1) CMP[0] <=> (1) Phosphate[0] + (1) Cytidine[0]	
814	3.1.3.5			Nucleic acids	Pyrimidine_de_novo_biosynthesis_in_plants	5'-nucleotidase (EC 3.1.3.5)	rxn00708	(1) H2O[0] + (1) UMP[0] <=> (1) Phosphate[0] + (1) Uridine[0]	
